author,datetype,docid,enddate,enumcron,filepath,genres,imprint,imprintdate,locnum,oclc,place,recordid,sampledas,startdate,subjects,title
"(Cecil Scott), Forester, C. S.",s,inu.32000001363953,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.32000001363953.basic.json.bz2,Fiction,New York|P.F. Collier|c1935.,1935,,4816163,nyu,006059657,non,1935,,The African Queen
"Randall, J. G.",m,inu.32000001367251,1955,v.4,/Volumes/TARDIS/work/hathifiles/counts/inu.32000001367251.basic.json.bz2,Biography|NotFiction|Bibliographies,"New York;Dodd, Mead;1945-55.",1945-1955,E457.R2,6260249,nyu,003018890,bio,1945,"1809-1865|Lincoln, Abraham","Lincoln, the President"
"Dame, Pope-Hennessy, Una Birch,",s,inu.32000001369828,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.32000001369828.basic.json.bz2,Bibliographies|NotFiction|Biography,London|Chatto & Windus|1940.,1940,PR5499.S2Z75,399243,enk,000231172,bio,1940,"1796-1874|Strickland, Agnes",Agnes Strickland
"Arjona, Doris King.",s,inu.32000001538703,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.32000001538703.basic.json.bz2,Fiction,New York|The Macmillan company|1943.,1943,PC4127.H5A7,1669125,nyu,006789004,fic,1943,Readers|Spanish language|Discovery and exploration | Spanish,Siglo de aventuras;
"Alcott, Louisa May,",s,inu.32000001669433,    ,,/Volumes/TARDIS/work/hathifiles/counts/inu.32000001669433.basic.json.bz2,Domestic fiction|Fiction|Juvenile audience,London;Dent;New York;Dutton;1970.,1970,PZ7.A335Li73,2644818,enk,007593936,fic,1970,New England|Juvenile fiction|Sisters|March family (Fictitious characters)|Family life|Fiction,Little women ; Good wives
"Günçe, Ergin,",s,inu.32000001792284,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.32000001792284.basic.json.bz2,Poetry,"Beyoğlu, İst[anbul|Broy Yayınları|1995.",1995,,32803129,tu ,007977730,poe,1995,,Türkiye kadar bir çiçek =
"Cepero, Nilda.",s,inu.32000001793373,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.32000001793373.basic.json.bz2,Poetry,Miami|LS Press|c1998.,1998,,41953788,flu,008566784,poe,1998,Cubans|United States|Poetry,Lil' Havana blues
"Macaulay, Rose,",s,inu.32000001874819,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.32000001874819.basic.json.bz2,Fiction,New York|Boni and Liveright|©1923,1923,PZ3.M1215PR6025.A16,288705,nyu,006061770,fic,1923,"Dame|1881-1958|fast|(OCoLC)fst01798964|Macaulay, Rose",Told by an idiot
"Leacock, Stephen,",s,inu.32000001879636,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.32000001879636.basic.json.bz2,NotFiction,New York|Dodd|1941.,1941,,8548632,nyu,006060833,non,1941,,Laugh with Leacock;
"Regis, Edward,",r,inu.32000002019539,1987,,/Volumes/TARDIS/work/hathifiles/counts/inu.32000002019539.basic.json.bz2,Bibliographies|NotFiction,"London|Simon & Schuster|1988, c1987.",1988,Q180.U5R337 1988,17439626,enk,7977520,other,1988,"Research organisations: Institute for Advanced Study, history|New Jersey|Princeton|History|Research|Research institutes|Institute for Advanced Study (Princeton, N.J.)",Who got Einstein's office?
"Strong, L. A. G.",s,inu.32000002526954,    ,,/Volumes/TARDIS/work/hathifiles/counts/inu.32000002526954.basic.json.bz2,Fiction,London;Methuen;1948.,1948,PR6037.T845T69 1948,1465524,enk,006059793,fic,1948,,Trevannion
"(Walter James), Turner, W. J.",s,inu.32000002542498,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.32000002542498.basic.json.bz2,Fiction,"London|J.M. Dent & sons, ltd.|1935",1935,PZ3.T850Bl,2195241,enk,006059829,fic,1935,,Blow for balloons
"Ikeda, Hiroko,",s,inu.32000002735498,    ,,/Volumes/TARDIS/work/hathifiles/counts/inu.32000002735498.basic.json.bz2,Bibliographies|NotFiction,1955,1955,,10861651,xx ,6806994,other,1955,"Classification|Themes, motives|Folk literature, Japanese",A type and motif index of Japanese folk-literature
,s,inu.32000002745109,    ,,/Volumes/TARDIS/work/hathifiles/counts/inu.32000002745109.basic.json.bz2,NotFiction,"Wilmette, Ill.|Bahá'í Public Relations|c1946",1946,,3930614,ilu,6022872,other,1946,Bahais,Bahá'í
"(Arthur Rex Dugard), Fairburn, A. R. D.",r,inu.32000002860791,1966,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.32000002860791.basic.json.bz2,Poetry,New Zealand|Pegasus|1967.,1967,,22869530,nz ,006059641,poe,1967,,Collected poems
"Doughty, Oswald.",r,inu.32000002869305,1953,no.7,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.32000002869305.basic.json.bz2,Bibliographies|NotFiction|Biography,Lincoln|University of Nebraska Press|c1965.,1965,,825600,nbu,007584158,non,1965,"Rossetti, Dante Gabriel|1837-1909|1834-1896|1828-1882|Morris, William|Swinburne, Algernon Charles",Dante Gabriel Rossetti
"(Archibald Joseph), Cronin, A. J.",s,inu.32000002872937,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.32000002872937.basic.json.bz2,Fiction,"Boston|Little, Brown, and company|1937.",1937,,366023,mau,001417443,non,1937,,The citadel
"Elizabeth,",s,inu.32000002883132,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.32000002883132.basic.json.bz2,Love stories|Fiction|Domestic fiction,London|Hamilton|1973.,1973,PZ3.R9158En5PR6035.U8,903248,enk,007587889,fic,1973,Fiction|British|Man-woman relationships|Women|Italy|Travel,The enchanted April
"Proust, Marcel,",r,inu.32000002903856,    ,v.7,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.32000002903856.basic.json.bz2,Fiction,London|Chatto & Windus|1949.,1949,,9096303,enk,007576582,fic,1949,,Remembrance of things past
"Undset, Sigrid,",c,inu.32000002915900,1927,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.32000002915900.basic.json.bz2,Fiction,"New York|Knopf|distributed by Random House|1935, t. p. 1978, c1927.",1935,,3388220,nyu,006055797,fic,1935,,Kristin Lavransdatter
"(John Boynton), Priestley, J. B.",s,inu.32000002916155,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.32000002916155.basic.json.bz2,Fiction,New York|Harper|1928.,1928,,295105,nyu,006064000,non,1928,,The old dark house
"Speaight, Robert,",s,inu.32000002971127,    ,,/Volumes/TARDIS/work/hathifiles/counts/inu.32000002971127.basic.json.bz2,Biography|NotFiction,"London;New York [etc.;Longmans, Green and co.;1938",1938,DA209.T4S65 1938,2355097,enk,006033873,bio,1938,"à Becket, Saint|1118?-1170|Thomas",Thomas Becket
"Fulford, Roger,",s,inu.32000003245059,    ,,/Volumes/TARDIS/work/hathifiles/counts/inu.32000003245059.basic.json.bz2,Biography|NotFiction,London;Collins;1951,1951,,1526516,enk,006063308,bio,1951,1819-1901|Queen of Great Britain|Victoria,Queen Victoria
"(Peter Malcolm) Holt, P. M.",s,inu.32000003301126,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.32000003301126.basic.json.bz2,NotFiction|Bibliographies,"Princeton|Program in Near Eastern Studies, Princeton University|1967",1967,,3810635,nju,006018181,non,1967,Islam|Sudan,Holy families and Islam in the Sudan
"(William Edward Burghardt), Du Bois, W. E. B.",s,inu.32000003479633,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.32000003479633.basic.json.bz2,Fiction,"New York|Harcourt, Brace and Company|c1928",1928,PZ3.D8525Da,6065492,nyu,006058779,fic,1928,,Dark princess
"Rocker, Rudolf,",r,inu.32000004057404,uuuu,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.32000004057404.basic.json.bz2,Bibliographies|NotFiction,London|Freedom Press|1973.,1973,HX833.R596 1973,1103590,enk,007593232,non,1973,Syndicalism|Anarchism,Anarchism and anarcho-syndicalism
"Blicher, Steen Steensen,",r,inu.32000004283992,1945,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.32000004283992.basic.json.bz2,Fiction,New York|Kraus Reprint Co.|1972.,1972,,4016524,nyu,007977892,fic,1972,,Twelve stories
"Ewers, Hanns Heinz,",s,inu.32000004540722,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.32000004540722.basic.json.bz2,Fiction,New York|The John Day Company|c1932,1932,PZ3.E9455Ri,3118673,nyu,006056752,fic,1932,,Rider of the night
"Ewing, Juliana Horatia Gatty,",s,inu.32000005062965,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.32000005062965.basic.json.bz2,Fiction|Juvenile audience,New York|H. Z. Walck|1960.,1960,PZ7.E95Jan10,471216,nyu,006059979,fic,1960,Fiction|England|Country life,Jan of the windmill
"Kipling, Rudyard,",s,inu.32000005570504,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.32000005570504.basic.json.bz2,Fiction,"Garden City, N.Y.|Doubleday, Doran & Co.|1931.",1931,PZ.K629Hu,360521,nyu,006063849,fic,1931,,The humorous tales of Rudyard Kipling
"Weismiller, Edward Ronald,",s,inu.32000006208393,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.32000006208393.basic.json.bz2,Fiction,New York|Putnam|1962,1962,PZ4.W4285Se,1495943,nyu,006060183,fic,1962,,The serpent sleeping
"Maginn, William,",s,inu.32000006980991,    ,,/Volumes/TARDIS/work/hathifiles/counts/inu.32000006980991.basic.json.bz2,Fiction,"London|E. Partridge, ltd.|1933",1933,PZ3.M2733Te,1636151,enk,6059191,fic,1933,,Ten tales
"Armstrong, Martin Donisthorpe,",s,inu.32000007175351,    ,,/Volumes/TARDIS/work/hathifiles/counts/inu.32000007175351.basic.json.bz2,Fiction,London;Collins;1940.,1940,,9228210,enk,006058909,fic,1940,,Simplicity Jones
"Lydgate, John,",m,inu.32000007255617,1927,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.32000007255617.basic.json.bz2,Poetry|Bibliographies,Washington|Carnegie Institution of Washington|1923-27.,1923-1927,PR2034.F3 1923,2702055,wau,001639320,poe,1923,,Lydgate's Fall of princes
"Lydgate, John,",m,inu.32000007255781,1927,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.32000007255781.basic.json.bz2,Poetry|Bibliographies,Washington|Carnegie Institution of Washington|1923-27.,1923-1927,PR2034.F3 1923,2702055,wau,001639320,poe,1923,,Lydgate's Fall of princes
"Lydgate, John,",m,inu.32000007255849,1927,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.32000007255849.basic.json.bz2,Poetry|Bibliographies,Washington|Carnegie Institution of Washington|1923-27.,1923-1927,PR2034.F3 1923,2702055,wau,001639320,poe,1923,,Lydgate's Fall of princes
"Conrad, Joseph,",s,inu.32000007257969,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.32000007257969.basic.json.bz2,Fiction,"Garden City, N.Y.|Doubleday, Page & Co.|1924.",1924,,494312,nyu,005633617,fic,1924,,The shorter tales of Joseph Conrad
"Howard, Raymond Glenn.",s,inu.32000007357850,    ,,/Volumes/TARDIS/work/hathifiles/counts/inu.32000007357850.basic.json.bz2,NotFiction,Austin|1952.,1952,,9962919,txu,5998129,other,1952,Texas|Social conditions|Mexican Americans|Resaca City,Acculturation and social mobility among Latin-Americans in Resaca City
"Manus, Max,",s,inu.32000007466271,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.32000007466271.basic.json.bz2,NotFiction,"Garden City, N.Y.|Doubleday & company, inc.|1947.",1947,D811.5.M267,489847,xx ,005906708,non,1947,"Norway|World War, 1939-1945|Personal narratives, Norwegian|Underground movements",9 lives before thirty
"O'Hara, John,",s,inu.32000007478300,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.32000007478300.basic.json.bz2,NotFiction,"New York|Duell, Sloan and Pearce|c1940",1940,,653710,nyu,001376223,non,1940,,Pal Joey
,s,inu.32000007483920,    ,,/Volumes/TARDIS/work/hathifiles/counts/inu.32000007483920.basic.json.bz2,NotFiction,"Geneva|Publicity Department, Executive of the Ukrainian Nationalists|1928",1928,,34904729,sz ,6782872,other,1928,,"The Ukrainian question, a peace problem"
"Keeffe, Barrie,",t,inu.32000007503255,1977,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.32000007503255.basic.json.bz2,Drama,"London|Eyre Methuen|1978, c1977.",1978,PR6061.E42G5 1978,427027363,enk,007587749,dra,1978,,Gimme shelter
"(David Herbert), Lawrence, D. H.",s,inu.32000007564653,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.32000007564653.basic.json.bz2,Fiction|Bibliographies,London|J.M. Dent & sons ltd.|1939,1939,"PR6023.A93A6, 1939",3906563,enk,006060796,fic,1939,,"Stories, essays and poems"
"Leech, Margaret,",s,inu.32000007695952,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.32000007695952.basic.json.bz2,NotFiction|Bibliographies,"New York|Time, Inc.|1962",1962,,1048100,nyu,006010619,non,1962,"History|Civil War, 1861-1865","Reveille in Washington, 1860-1865"
"Lewis, Lloyd,",s,inu.32000007740428,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.32000007740428.basic.json.bz2,NotFiction,"New York|Harcourt, Brace and Co.|c1940",1940,,819604,nyu,005995292,non,1940,"Assassination|Booth, John Wilkes|Lincoln, Abraham|1809-1865|1838-1865",Myths after Lincoln
,n,inu.32000007926142,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.32000007926142.basic.json.bz2,NotFiction,,,,,   ,005991854,non,    ,,Within the Ropes
"Bacchelli, Riccardo,",s,inu.32000007943519,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.32000007943519.basic.json.bz2,Fiction,Milano|Casa editrice Ceschina|1944,1944,PQ4807.A23D5,4176290,it ,007581651,fic,1944,"Bakunin, Mikhail Aleksandrovich|1814-1876|Fiction",Il diavolo al Pontelungo
"Bacheller, Irving,",s,inu.32000009050271,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.32000009050271.basic.json.bz2,Fiction,"New York|Toronto|Farrar & Rinehart, Inc.|c1937",1937,,925403,nyu,006947171,fic,1937,"Lincoln, Abraham|1809-1865",A boy for the ages
"Lewis, Cecil,",s,inu.32000009079445,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.32000009079445.basic.json.bz2,Fiction,London|P. Davies|1943,1943,PZ3.L58527Pat,10425546,enk,006061780,fic,1943,"Fiction|World War, 1939-1945",Pathfinders
"James, Marquis,",s,inu.32000009097397,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.32000009097397.basic.json.bz2,NotFiction|Biography|Bibliographies,New York|Grosset & Dunlap|c1933,1933,E382.J26 1964,328337,nyu,006001227,non,1933,"New Orleans, Battle of, New Orleans, La., 1815|Jackson, Andrew|1767-1845","Andrew Jackson, the border captain"
"O'Connor, Frank,",s,inu.32000009125503,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.32000009125503.basic.json.bz2,Fiction,London|Macmillan & co. ltd.|1944.,1944,PZ3.O2712Cr,1183318,enk,006063961,fic,1944,,Crab apple jelly;
"Delafield, E. M.,",s,inu.32000009135734,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.32000009135734.basic.json.bz2,Fiction,New York|Book League of America|1932.,1932,,10789169,nyu,006059683,fic,1932,,A good man's love
"Cranford, Robin.",s,inu.32000009141682,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.32000009141682.basic.json.bz2,Fiction,London|Jarrolds|1962,1962,,11217381,enk,006059580,fic,1962,,Leave them their pride
"Hilton, James,",s,inu.32000009149842,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.32000009149842.basic.json.bz2,Fiction,"Boston|Little, Brown and Co.|1941.",1941,,365054,mau,001112430,non,1941,,Random harvest
"Kipling, Rudyard,",s,inu.32000009191307,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.32000009191307.basic.json.bz2,Fiction,New York|Book League of America|1932.,1932,,4115901,nyu,006063856,fic,1932,,The light that failed
"Balchin, Nigel,",s,inu.32000009191596,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.32000009191596.basic.json.bz2,Fiction,Boston|Houghton Mifflin company|1945.,1945,,485000,mau,006058920,fic,1945,,The small back room
"(Goldsworthy Lowes), Dickinson, G. Lowes",s,inu.32000009193220,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.32000009193220.basic.json.bz2,Fiction,London|Allen & Unwin|1943.,1943,,16920563,enk,006059684,fic,1943,,The magic flute
"Conrad, Joseph,",s,inu.32000009261134,    ,v.21,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.32000009261134.basic.json.bz2,Fiction,"Garden City, N.Y.|Doubleday, Page & Co.|1925.",1925,,10140035,nyu,006059539,fic,1925,,Complete works
"Conrad, Joseph,",s,inu.32000009261407,    ,v.3,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.32000009261407.basic.json.bz2,Fiction,"Garden City, N.Y.|Doubleday, Page & Co.|1925.",1925,,10140035,nyu,006059539,fic,1925,,Complete works
"(Clara Collliver), Rice, C. Colliver",s,inu.32000009266836,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.32000009266836.basic.json.bz2,Fiction,London|Sheldon|1929.,1929,,26020598,enk,006063980,fic,1929,,Shirin
"Sir. Hoyle, Fred,",s,inu.32000009540750,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.32000009540750.basic.json.bz2,Fiction,New York|Harper|c1957.,1957,,3649191,nyu,006060000,fic,1957,,The black cloud
"Young, Geoffrey Winthrop,",s,inu.32000009614431,    ,,/Volumes/TARDIS/work/hathifiles/counts/inu.32000009614431.basic.json.bz2,NotFiction,London;Methuen;1936.,1936,,7305206,enk,006059908,poe,1936,,Collected poems of Geoffrey Winthrop Young
"Sir, Bryant, Arthur,",s,inu.32000009632425,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.32000009632425.basic.json.bz2,NotFiction|Biography,"London|P. Davies, limited|1936.",1936,DA573.B75,3469138,enk,000112140,bio,1936,King of Great Britain|V|George|1865-1936,George V
"(Thomas Samuel), Duke, Thomas S.",r,inu.32000009716731,1910,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.32000009716731.basic.json.bz2,Drama,"Montclair, N.J.|Patterson Smith|1991, c1910.",1991,HV6524.D75 1990,21150459,nju,007584958,dra,1991,California|19th century|San Francisco|Case studies|Criminals|History|United States|Murder,Celebrated criminal cases of America
"Shackelford, Jane Dabney.",s,inu.32000009800881,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.32000009800881.basic.json.bz2,Fiction,"Washington, D.C.|The Associated Publishers, Inc.|1944.",1944,E185.86.S5,1403988,dcu,006784888,fic,1944,African Americans|Pictorial works|Social life and customs|Children,My happy days
"Sir, Davies, Joseph,",s,inu.32000009812456,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.32000009812456.basic.json.bz2,NotFiction|Biography,"Newport, Mon.|R. H. Johns|1951",1951,DA577.D3,522084,enk,000150746,bio,1951,Cabinet officers|Great Britain,"The Prime Minister's secretariat, 1916-1920"
"Pound, Reginald.",s,inu.32000009823610,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.32000009823610.basic.json.bz2,Bibliographies|NotFiction|Biography,London|Cassell|c1959,1959,,1628323,enk,000111794,bio,1959,"1865-1922|Northcliffe, Alfred Harmsworth|Viscount",Northcliffe
"Owen, Frank,",s,inu.32000009828247,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.32000009828247.basic.json.bz2,Bibliographies|NotFiction|Biography,New York|McGraw-Hill|1955,1955,,383583,nyu,000112705,bio,1955,"1863-1945|Lloyd George, David",Tempestuous journey;
"Sommer, Dudley.",s,inu.32000009830789,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.32000009830789.basic.json.bz2,NotFiction|Biography,London|G. Allen & Unwin|1960,1960,DA566.9.H27S6,1628602,xx ,000112702,bio,1960,"1856-1928|(Richard Burdon Haldane)|Haldane, R. B. Haldane|Viscount",Haldane of Cloan
"Marriott, J. A. R.",s,inu.32000009832314,    ,,/Volumes/TARDIS/work/hathifiles/counts/inu.32000009832314.basic.json.bz2,Bibliographies|NotFiction,London|Methuen|1946.,1946,,12300174,enk,6024075,other,1946,1789-1900|History,The remaking of modern Europe
"Benson, E. F.",s,inu.32000009886757,1933,,/Volumes/TARDIS/work/hathifiles/counts/inu.32000009886757.basic.json.bz2,Biography|Bibliographies|NotFiction,"London|New York|Longmans, Green and co.|1934, 1933.",1934,,3662866,enk,5945230,bio,1934,VII|King of Great Britain|Edward|1841-1910,King Edward VII
,s,inu.32000010020370,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.32000010020370.basic.json.bz2,Poetry|Bibliographies,London|Nicholson & Watson|1943.,1943,D526,3066885,enk,001372106,poe,1943,"Poetry|English poetry|World War, 1914-1918|20th century|Literature and the war","Anthology of war poetry, 1914-1918"
"(Elizabeth Williams), Champney, Elizabeth W.",s,inu.32000010035303,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.32000010035303.basic.json.bz2,Fiction,New York|London|G.P. Putnam's Sons|1923.,1923,,12629154,nyu,006034232,fic,1923,"Castles|Bourbons, 1589-1789|France|History | Fiction",Romance of the Bourbon châteaux
"Saint, Southwell, Robert,",s,inu.32000011082015,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.32000011082015.basic.json.bz2,Poetry,Oxford|B. Blackwell|1926.,1926,PR2349S5A6 1926,4016181,enk,001186057,poe,1926,Southwell family,"The book of Robert Southwell, priest, poet, prisoner"
"Wiggin, Lewis M.",s,inu.32000011304047,    ,v.69,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.32000011304047.basic.json.bz2,Bibliographies|NotFiction|Biography,New Haven|Yale University Press|1958.,1958,DA500.W57,1472670,ctu,000108273,bio,1958,18th century|Grenville family|Politics and government,The faction of cousins;
"Jesus, C. A. Montalto de",s,inu.32000013323623,    ,,/Volumes/TARDIS/work/hathifiles/counts/inu.32000013323623.basic.json.bz2,Bibliographies|NotFiction,Macao|Salesian Printing Press and Tipografia Mercantil|1926.,1926,DS740.5.P7M7 1926,9066032,mh ,6045184,other,1926,,Historic Macao
"Aspinall-Oglander, Cecil Faber,",s,inu.32000014412524,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.32000014412524.basic.json.bz2,NotFiction|Biography,"London|New York [etc.|Longmans, Green and co.|1940",1940,DA501.B63A8 1940,2748726,enk,000107141,bio,1940,"1711-1761|Boscawen, Edward",Admiral's wife;
"Heym, Stefan,",s,inu.39000000135843,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.39000000135843.basic.json.bz2,Fiction,"Garden City, N.Y.|Sun Dial Press|1943.",1943,PT2617.E946H6 1943,19118613,nyu,006064017,non,1943,,Hostages
"Needham, Richard.",s,inu.39000000293576,    ,,/Volumes/TARDIS/work/hathifiles/counts/inu.39000000293576.basic.json.bz2,NotFiction,"Cambridge, England|P. Stephens|1983.",1983,JN677.N43 1983,10725384,enk,7985688,other,1983,Parliament|House of Commons|Anecdotes|Great Britain,Honourable member
"Johnson, Louis Omotayo.",s,inu.39000000332200,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.39000000332200.basic.json.bz2,Fiction,"Ibadan, Nigeria|Spectrum Books|1981.",1981,,10867955,nr ,006061270,fic,1981,,Black Maria
"Richards, Sylvie L. F.",r,inu.39000000563853,1979,,/Volumes/TARDIS/work/hathifiles/counts/inu.39000000563853.basic.json.bz2,NotFiction|Bibliographies,1979.,1979,,11823519,miu,007826618,dra,1982,Drama|Absurd (Philosophy) in literature|History and criticism|Black humor|20th century,A poetics of the absurd
"Wheelwright, Steven C.,",s,inu.39000000567276,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.39000000567276.basic.json.bz2,Bibliographies|NotFiction,New York|Wiley|c1985.,1985,HD30.27.W46 1985,11784892,nyu,007437548,non,1985,Methodology|Business forecasting|Economic forecasting,Forecasting methods for management
"Chidyausiku, Paul,",s,inu.39000000592472,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.39000000592472.basic.json.bz2,Fiction,Gweru|Mambo Press|1984.,1984,PR9390.9.C44B7 1984,11960622,rh ,006060468,fic,1984,Fiction|Shona (African people),Broken roots
"Jackman, S. W. (Sydney Wayne),",s,inu.39000000597562,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.39000000597562.basic.json.bz2,Bibliographies|NotFiction|Biography,"Windsor Forest, Berks.|Kensal Press|c1984.",1984,DA559.M3J33 1984,11915180,enk,000169073,bio,1984,"Princesses|1833-1897|Princess, Duchess of Teck|Great Britain|Mary|Biography",The people's princess
"Lemon, David M. H.,",s,inu.39000000598693,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.39000000598693.basic.json.bz2,Fiction,Harare|College Press|1983.,1983,PR9390.9.L4I9 1983,11917941,rh ,006060451,fic,1983,,Ivory madness
"Palmer, Vance,",s,inu.39000000679675,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.39000000679675.basic.json.bz2,Fiction,Sydney|Angus & Robertson|1934.,1934,,11192642,at ,006060906,fic,1934,,The Swayne family
"Hébert, Anne.",c,inu.39000000719471,1983,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.39000000719471.basic.json.bz2,Fiction,"London|Dent|1984, c1983.",1984,,11423736,enk,007576217,non,1984,,In the shadow of the wind
"Archibong, Francis M.",s,inu.39000000901764,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.39000000901764.basic.json.bz2,NotFiction,"Uyo, Nigeria|Scholars Press|1980.",1980,,12126858,nr ,006063706,non,1980,,Pain of exile
"Rifbjerg, Klaus.",s,inu.39000000949136,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.39000000949136.basic.json.bz2,Poetry,"Willimantic, Conn.|Curbstone Press|c1984.",1984,PT8176.28.I32A27 1984,12408726,ctu,007977970,poe,1984,,Selected poems
"Howell, David,",s,inu.39000000984398,    ,no.308,/Volumes/TARDIS/work/hathifiles/counts/inu.39000000984398.basic.json.bz2,NotFiction,London|Conservative Political Centre|1965,1965,HC256.6.H64,3632136,enk,7982299,other,1965,1964-1979|Economic policy,Efficiency and beyond;
,s,inu.39000001008825,    ,,/Volumes/TARDIS/work/hathifiles/counts/inu.39000001008825.basic.json.bz2,NotFiction|Biography,Moscow;Progress Publishers;c1984.,1984,TL789.85.G3F57 1984,12663085,rur,006054153,bio,1984,"Biography|1934-1968|Astronauts|Soviet Union|Gagarin, Yuri Alekseyevich",First man in space
"Hurst, Fannie,",c,inu.39000001064158,1933,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.39000001064158.basic.json.bz2,Fiction,"New York|Permabooks|1959, c1933.",1959,,13973575,nyu,006058886,fic,1959,,Imitation of life
"Lillard, Lee A.,",s,inu.39000001077390,    ,,/Volumes/TARDIS/work/hathifiles/counts/inu.39000001077390.basic.json.bz2,Bibliographies|NotFiction,"Santa Monica, CA|Rand|1986].",1986,,14114705,cau,7281375,other,1986,United States|Wages|Manpower policy|Occupational training|Evaluation|Mathematical models,Methodological issues in the evaluation of CETA programs
"Wheatley, Nadia.",s,inu.39000001130710,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.39000001130710.basic.json.bz2,Fiction,"Ringwood, Victoria, Australia|Viking/Kestrel, published with the assistance of the Literature Board of the Australia Council|New York, N.Y.|Penguin Books|1984.",1984,,13333594,at ,007591784,fic,1984,,The house that was Eureka
