docid,author,datetype,enddate,enumcron,filepath,genres,imprint,imprintdate,locnum,oclc,place,recordid,sampledas,startdate,subjects,title,volgenre
mdp.39015028969007,"Jocano, F. Landa.",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015028969007.basic.json.bz2,Fiction|Juvenile audience,Quezon City|Alemar-Phoenix|1971.,1971,PZ8.1.J58My,849754,ph ,001277007,fic,1971,Philippines|Tales,Myths and legends of the early Filipinos,fic
mdp.39015031225439,"Bemelmans, Ludwig,",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015031225439.basic.json.bz2,Fiction,New York|Viking Press|1944.,1944,,814188,nyu,000471729,fic,1944,,Now I lay me down to sleep,fic
mdp.39015046834209,"Duffy, Bruce.",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015046834209.basic.json.bz2,Fiction,New York|Ticknor & Fields|c1987.,1987,PS3554.U31917W6 1987,15366070,nyu,000927926,fic,1987,"Wittgenstein, Ludwig|1889-1951|Fiction",The world as I found it,fic
mdp.39015056990602,"Freeman, R. Austin (Richard Austin),",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015056990602.basic.json.bz2,Fiction,"New York|Dodd, Mead & co.|1929.",1929,PZ3.F8806Si 3,1691045,nyu,000394632,fic,1929,,A silent witness,fic
mdp.49015000736018,"Reiter, B. P.,",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.49015000736018.basic.json.bz2,Fiction,Philadelphia|Lippincott|c1977.,1977,PZ4.R379SatPS3568.E525,2644434,pau,004455887,fic,1977,,The Saturday night knife & gun club,fic
mdp.49015001445007,"Wharton, Edith,",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.49015001445007.basic.json.bz2,Fiction|Love stories,"New York, N.Y., U.S.A.|Viking|1993.",1993,PS3545.H16B83 1993,28149018,nyu,004530002,fic,1993,New York (N.Y.)|Americans|Man-woman relationships|England|Fiction|Young women,The buccaneers,fic
uc1.$b242665,"Markham, Virgil,",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/uc1.$b242665.basic.json.bz2,Fiction,New York|A. A. Knopf|1932.,1932,PZ3.M3406Dev,9819964,nyu,000245392,fic,1932,,The devil drives,fic
uc1.$b302083,"Muir, Edwin,",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/uc1.$b302083.basic.json.bz2,Fiction,New York|Doubleday|1931.,1931,,6548812,xx ,006534719,fic,1931,,The three brothers,fic
uc1.b3295221,"(James Howell), Street, James H.",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/uc1.b3295221.basic.json.bz2,Fiction,New York|The Dial press|1941.,1941,PZ3.S91557In,1499554,nyu,006129055,fic,1941,,In my father's house,fic
uc1.b4437609,"Grimwood, Ken.",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/uc1.b4437609.basic.json.bz2,Fiction,"Garden City, N.Y.|Doubleday|1976.",1976,,2020083,nyu,009517341,fic,1976,,Breakthrough,fic
aeu.ark:/13960/t6b28b425,"O'Hagan, Thomas,",r,1887,,/Volumes/TARDIS/work/hathifiles/secondcounts/aeu.ark+=13960=t6b28b425.basic.json.bz2,Poetry,Toronto|W. Briggs|1887.,1887,,70581167,onc,100310229,poe,1998,,A gate of flowers and other poems,poe
aeu.ark:/13960/t9280t11h,"Sir, Roberts, Charles G. D.,",r,1898,,/Volumes/TARDIS/work/hathifiles/secondcounts/aeu.ark+=13960=t9280t11h.basic.json.bz2,Poetry,"Boston|New York|Lamson, Wolffe|1898.",1898,,70581637,mau,100310326,poe,1998,,New York nocturnes and other poems,poe
inu.30000078161423,"Hetherington, Graeme,",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.30000078161423.basic.json.bz2,Poetry,"Launceston, Tas.|Cornford Press|1999.",1999,,44894255,at ,007591691,poe,1999,,In the shadow of Van Diemen's Land,poe
mdp.39015000612260,"Skelton, Robin.",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015000612260.basic.json.bz2,Poetry,London|Oxford University Press|1962.,1962,PR6037.K38D3,366172,enk,001185861,poe,1962,Canadian poetry,The dark window,poe
mdp.39015002712936,"Rickword, Edgell,",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015002712936.basic.json.bz2,Poetry,London|Bodley Head|1947,1947,PR6035.I39A17 1947,1580573,enk,001377313,poe,1947,,Collected poems,poe
mdp.39015002715640,"(Ivor Armstrong), Richards, I. A.",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015002715640.basic.json.bz2,Poetry,"New York|Harcourt, Brace|1960",1960,PR6035.I337S3,260175,nyu,001377256,poe,1960,,"The screens, and other poems",poe
mdp.39015002734112,"Sir, Wyatt, Thomas,",r,1913,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015002734112.basic.json.bz2,Poetry,New York|Russell & Russell|1964.,1964,PR2400.A2 1964,352652,nyu,001189081,poe,1964,,The poems of Sir Thomas Wiat,poe
mdp.39015004651389,"Wallis, Charles Langworthy,",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015004651389.basic.json.bz2,Poetry,New York|Harper|1959.,1959,PR1191.W3,1358236,nyu,001016905,poe,1959,"Religious poetry, American|Religious poetry, English",A treasury of poems for worship and devotion,poe
mdp.39015008334784,"Bishop, Morris,",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015008334784.basic.json.bz2,Poetry,New York|Dial Press|1954.,1954,PS3503.I796B6,280945,nyu,001028212,poe,1954,,A bowl of Bishop,poe
mdp.39015013399020,"Piercy, Marge.",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015013399020.basic.json.bz2,Publishers' advertisements|Presentation copies (Provenance)|Poetry|Markings (Provenance),New York|Alfred A. Knopf|Distributed by Random House|1988.,1988,PS3566.I4A94 1988,17234299,nyu,000922273,poe,1988,,Available light,poe
mdp.39015013906410,"Raine, Kathleen,",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015013906410.basic.json.bz2,Poetry,London|Nicholson and Watson|1943,1943,PR6035.A37S8,10665335,enk,001025739,poe,1943,,Stone and flower,poe
mdp.39015016442066,"Doyle, Charles,",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015016442066.basic.json.bz2,Poetry,"Christchurch, N. Z.|Pegasus Press|1956.",1956,PR 6007 O98S76 1956,61603801,nz ,001375485,poe,1956,,A splinter of glass;,poe
mdp.39015017664478,"Sillitoe, Alan.",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015017664478.basic.json.bz2,Poetry,London|W.H. Allen|1960.,1960,PR6037.I5R3 1960,2621564,enk,001025812,poe,1960,,"The rats, and other poems",poe
mdp.39015023469169,"Berry, Lloyd Eason,",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015023469169.basic.json.bz2,Poetry|Bibliographies,Madison|University of Wisconsin Press|1964.,1964,Z2014.P7B4,576832,wiu,001169197,poe,1964,"English poetry|Early modern, 1500-1700|History and criticism|Bibliography","A bibliography of studies in metaphysical poetry, 1939-1960",non
mdp.39015030719416,"Zaturenska, Marya,",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015030719416.basic.json.bz2,Poetry,New York|Macmillan|1937.,1937,PS3549.A77C65,966550,nyu,001189285,poe,1937,,Cold morning sky,poe
mdp.39015031304796,"Taggard, Genevieve,",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015031304796.basic.json.bz2,Poetry,New York|A.A. Knopf|1926.,1926,PS3539.A23W6 1926,1512359,nyu,001186885,poe,1926,,Words for the chisel,poe
mdp.39015031310280,"Untermeyer, Louis,",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015031310280.basic.json.bz2,Poetry|Authors' Inscriptions (Provenance)|Italian Old Style|Typefaces (Type evidence)|Publishers' advertisements,"New York|Harcourt, Brace & Company|1928.",1928,PS 3541 N96B96 1928,907874,nyu,001187611,poe,1928,,Burning bush,poe
mdp.39015048899390,"Sitwell, Osbert,",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015048899390.basic.json.bz2,Poetry,"Boston|Little, Brown|1949.",1949,PR6037.I83E6 1949,1402506,mau,001185814,poe,1949,,"England reclaimed, and other poems",poe
mdp.39015054123222,"Vazīr Āg̲h̲ā,",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015054123222.basic.json.bz2,Poetry,Lahore|Kaghadhi Paerahen|c1999.,1999,PR9540.9.V39P66 1999,47790982,pk ,003595445,poe,1999,,Poems and Haiku poems,poe
mdp.39015054295004,"Anyidoho, Kofi.",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015054295004.basic.json.bz2,Poetry,Accra|Woeli Pub. Services|1985.,1985,PR9379.9.A58H37 1985,14412704,gh ,003609531,poe,1985,,"A harvest of our dreams ; with, Elegy for the revolution",poe
mdp.39015055165875,"Longville, Tim.",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015055165875.basic.json.bz2,Poetry,"Lantzville, B.C.|Island Writing Series|1981.",1981,,11514068,bcc,003780649,poe,1981,,Between the river and the sea,poe
mdp.39015056839577,"Schutz, Susan Polis.",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015056839577.basic.json.bz2,Poetry,"Boulder, Colo.|Blue Mountain Press|c1972.",1972,,7711750,cou,003865989,poe,1972,,"Come into the mountains, dear friend",poe
mdp.39076002945249,"Herald, Leon Serabian.",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076002945249.basic.json.bz2,Poetry,New York|T. Seltzer.|1925.,1925,PS3515.E5875T5,5418734,nyu,009929425,poe,1925,,This waking hour,poe
mdp.39076002947351,"Boyajian, Aram.",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076002947351.basic.json.bz2,Poetry,"Trumansburg, N.Y.|Crossing Press|c1973.",1973,,842847,nyu,009929260,poe,1973,,The man who wrote the world's longest haiku,poe
nyp.33433107825006,"Whitney, Barbara Schmitt.",s,    ,---,/Volumes/TARDIS/work/hathifiles/secondcounts/nyp.33433107825006.basic.json.bz2,Poetry,New York|Fine Editions Press|1955.,1955,PS3545.H81652D4,7641538,nyu,100157292,poe,1955,,Descent of the white bird,poe
uc1.$b683146,"Prior, Matthew,",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/uc1.$b683146.basic.json.bz2,Poetry,London|Chapman & Dodd|1923,1923,PR3640.A2 1923,5419409,enk,001022539,poe,1923,,The shorter poems of Matthew Prior,poe
uc1.32106016344449,"Everwine, Peter",t,1972,,/Volumes/TARDIS/work/hathifiles/secondcounts/uc1.32106016344449.basic.json.bz2,Poetry,"Pittsburgh|Carnegie Mellon University Press|2000, c1972",2000,PS3555.V4C6 2000,44442707,pau,007140732,poe,2000,,Collecting the animals,poe
uc1.b3727435,"Whitman, Cedric Hubbell.",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/uc1.b3727435.basic.json.bz2,Poetry,Cambridge|Harvard University Press|1965.,1965,PS3545.H754A62,290689,mau,001188356,poe,1965,"Poetry|1079-1142|Abelard, Peter","Abelard, poem",poe
uc1.b4431468,"Kitrilakis, Thalia.",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/uc1.b4431468.basic.json.bz2,Poetry,Berkeley|Kelsey St. Press|1983.,1983,PS3561.I8665B5 1983,9596145,cau,006239256,poe,1983,,Biting sun,poe
mdp.39015008734439,"Deval, Jacques,",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015008734439.basic.json.bz2,Drama,New York|Random House|1937.,1937,PQ2607.E875T62 1967,341844,nyu,001029381,dra,1937,,Tovarich,dra
mdp.39015010200395,"Shakespeare, William,",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015010200395.basic.json.bz2,Drama,London|World Film Publications|1948.,1948,PR 2807A2 D4 1948,1011448,enk,001373587,dra,1948,Hamlet (Motion picture),Hamlet;,dra
mdp.39015012933175,"Anderson, Maxwell,",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015012933175.basic.json.bz2,Drama,New York|S. French|1933.,1933,PS3501.N256B6 1933,1139012,nyu,001372487,dra,1933,,Both your houses,dra
mdp.39015022393196,"Kuan, Han-chʻing,",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015022393196.basic.json.bz2,Drama|ContainsBiogMaterial,Shanghai|New Art and Literature Publishing House|1958.,1958,PL2689.A27,3100717,cc ,001185226,dra,1958,,Selected plays of Kuan Han-ching,dra
mdp.39015030833886,"Weill, Kurt,",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015030833886.basic.json.bz2,Drama,New York|S. French|1971,1971,PS3513.R452J6 1971,850866,nyu,001372909,dra,1971,,Johnny Johnson,dra
mdp.39015030844388,"Cannan, Gilbert,",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015030844388.basic.json.bz2,Drama,London|M. Secker|1923,1923,PR6005.A48A19 1923,41952045,enk,001372629,dra,1923,,Seven plays,dra
mdp.39015058097281,"Duncan, Peter,",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015058097281.basic.json.bz2,Drama,Sydney|Currency Press|1996.,1996,,37661797,at ,003889210,dra,1996,History|Australia|Children of the revolution (Motion picture)|Communism,Children of the revolution,dra
mdp.39015062487742,"Davies, Robertson,",r,1949,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015062487742.basic.json.bz2,Drama,"Toronto|Clarke, Irwin & Co., Ltd.|1968, c1949.",1968,PR6007.A814F6 1968,59138,onc,005114820,dra,1968,"Didactic drama, Canadian",Four favourite plays,dra
mdp.39015062875680,"Sánchez, Edwin.",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015062875680.basic.json.bz2,Drama,"NY, NY|Broadway Play Pub.|c1996.",1996,,36396090,nyu,005071772,dra,1996,,Unmerciful good fortune,dra
mdp.39015063818937,"Galsworthy, John,",s,    ,,/Volumes/TARDIS/work/hathifiles/counts/mdp.39015063818937.basic.json.bz2,NotFiction,New York|London|C. Scribner's sons|1928.,1928,PR6013.A5A19 1928,365635,nyu,204310,dra,1928,,Plays,dra
mdp.39015067200793,"Shakespeare, William,",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015067200793.basic.json.bz2,Drama|Bibliographies,London|Methuen|1959.,1959,PR2801A2H83 1959,2378964,enk,001017662,dra,1959,,All's well that ends well,dra
pst.000027735060,"Whiting, John Robert,",c,1961,,/Volumes/TARDIS/work/hathifiles/secondcounts/pst.000027735060.basic.json.bz2,Drama,"New York|Hill and Wang|1962, c1961",1962,PR6045.H35D4,363355,nyu,001025946,dra,1962,"1590-1634|Grandier, Urbain|Drama",The devils,dra
pst.000033006185,"Storey, David,",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/pst.000033006185.basic.json.bz2,Drama|NotFiction,"London|Methuen Drama|Portsmouth, N.H.|Distributed in the United States of America by HEB Inc.|1994.",1994,,37637147,xxk,012256259,dra,1994,,"Plays, one",dra
uc1.b3552926,"(Ivor Armstrong), Richards, I. A.",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/uc1.b3552926.basic.json.bz2,Drama,"New York|Harcourt, Brace & World|1962.",1962,PR6035.I337T6,228790,nyu,001373496,dra,1962,Drama|d. ca. 1540|Faust,"Tomorrow morning, Faustus!",dra
wu.89068022771,"Grillparzer, Franz,",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/wu.89068022771.basic.json.bz2,Drama,"Yarmouth Port, Mass.|Register Press|1953.",1953,PT2256.A3B8,1219178,mau,001196638,dra,1953,,The Jewess of Toledo,dra
mdp.39015000255532,"Mann, Thomas,",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015000255532.basic.json.bz2,Fiction,New York|Alfred A. Knopf|1949.,1949,,32670396,nyu,003907201,fic,1949,,The magic mountain <Der zauberberg>,fic
mdp.39015002758004,"Santayana, George,",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015002758004.basic.json.bz2,Fiction,New York|C. Scribner's sons|1936.,1936,PZ3.S2284Las2,275564,nyu,001027802,fic,1936,,The last Puritan,fic
mdp.39015010309840,"Konigsburg, E. L.",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015010309840.basic.json.bz2,Fiction|Juvenile audience,New York|Atheneum|1971.,1971,PZ7.K8352Al 1971,143664,nyu,001031462,fic,1971,"Children's stories, American","Altogether, one at a time",fic
mdp.39015014139979,"Jackman, Stuart Brooke,",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015014139979.basic.json.bz2,Fiction,Grand Rapids|W. B. Eerdmans Pub. Co.|c1966,1966,PZ3.J1313Dav2,1093006,miu,000480839,fic,1966,,The Davidson affair,fic
mdp.39015032385885,"Sillitoe, Alan.",c,1970,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015032385885.basic.json.bz2,Fiction,"London|W. H. Allen|1979, c1970.",1979,,9505067,enk,000263955,fic,1979,,A start in life,fic
mdp.39015040363015,"Brontë, Anne,",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015040363015.basic.json.bz2,Fiction|Domestic fiction|ContainsBiogMaterial,New York|Modern Library|1997.,1997,PR4162.T4 1997,36681754,nyu,003967198,fic,1997,England|Fiction|19th century|Married women|Alcoholism|Social life and customs | Fiction|Landlord and tenant,The tenant of Wildfell Hall,fic
mdp.49015003322352,"Endō, Shūsaku,",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.49015003322352.basic.json.bz2,Fiction,New York|Taplinger Pub. Co.|1979.,1979,PZ4.E563WhPL849.N4,4957114,nyu,000574999,fic,1979,,When I whistle,fic
osu.32435059734319,"Kane, Frank,",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/osu.32435059734319.basic.json.bz2,Detective and mystery stories|Fiction,New York|Ives Washburn|c1955.,1955,,6578857,nyu,100825228,fic,1955,"Liddell, Johnny (Fictitious character)|Fiction",Red hot ice,fic
uc1.$b322902,"Aiken, Conrad,",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/uc1.$b322902.basic.json.bz2,Fiction,"New York, Boni & Liveright|1925.",1925,PZ3.A2912Br,795654,nyu,000114409,fic,1925,,Bring! bring! and other stories,fic
uc1.32106011028807,"Amis, Kingsley.",c,1992,,/Volumes/TARDIS/work/hathifiles/secondcounts/uc1.32106011028807.basic.json.bz2,Fiction,"New York|Viking|1994, c1992.",1994,,30407200,nyu,007129992,fic,1994,Fiction|Man-woman relationships,The Russian girl,fic
uc1.b4439307,"Duncan, Erika.",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/uc1.b4439307.basic.json.bz2,Fiction,New York|Schocken Books|1986.,1986,,11970937,nyu,009517608,fic,1986,,Those giants,fic
uc1.b4449481,"Albert, Gail,",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/uc1.b4449481.basic.json.bz2,Fiction,New York|Putnam|c1982.,1982,PS3551.L257M3 1982,8386690,nyu,006241877,fic,1982,,Matters of chance,fic
wu.89055735054,,s,    ,2,/Volumes/TARDIS/work/hathifiles/secondcounts/wu.89055735054.basic.json.bz2,Fiction,"Colorado Springs, CO|Meriwether Publishing, Contemporary Drama Service|c1983.",1983,,10447559,cou,010025060,fic,1983,Indians of North America|Folklore,Indian stories II,fic
inu.30000037134263,"Link, Arthur S. (Arthur Stanley),",m,1965,v.1,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.30000037134263.basic.json.bz2,Bibliographies|NotFiction|Biography,Princeton|Princeton University Press|1947-1965.,1947-1965,E767.L65,1985515,nju,000160193,bio,1947,"1856-1924|Wilson, Woodrow",Wilson,bio
mdp.39015004186998,"Baron, Ponsonby, Arthur Ponsonby,",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015004186998.basic.json.bz2,NotFiction|Biography,New York|The Macmillan company|1944.,1944,,6509831,nyu,000109273,bio,1944,"Sir|1825-1895|Queen of Great Britain|1819-1901|Ponsonby, Henry Frederick|Victoria","Henry Ponsonby, Queen Victoria's private secretary; his life from his letters",bio
mdp.39015005888733,"MacDermot, Frank,",c,1939,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015005888733.basic.json.bz2,Bibliographies|NotFiction|Biography,"Dublin|Anvil|1980, c1939.",1980,,9624195,ie ,000200916,bio,1980,"Biography|1760-1820|Ireland|Rebellion of 1798|Revolutionaries|1763-1798|History|Tone, Theobald Wolfe|United Irishmen",Theobald Wolfe Tone and his times,bio
mdp.39015021073609,"Lane, Margaret,",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015021073609.basic.json.bz2,NotFiction|Biography,"London|New York|F. Warne & co., ltd.|1949",1949,,5160415,enk,000205918,bio,1949,"Potter, Beatrix|1866-1943",The tale of Beatrix Potter,bio
mdp.39015030650652,"Turner, E. S. (Ernest Sackville),",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015030650652.basic.json.bz2,Bibliographies|NotFiction|Biography,London|Joseph|1975.,1975,DA28.1.T751 1975,2139713,enk,000213978,bio,1975,Nobility|England|Biography,Amazing grace,bio
mdp.39015030656220,"Lady, Balfour, Frances,",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015030656220.basic.json.bz2,NotFiction|Biography,London|Hodder and Stoughton|1925,1925,,4225793,enk,000152584,bio,1925,"Balfour, Alexander Hugh Bruce|1849-1921|baron","A memoir of Lord Balfour of Burleigh, K.T",bio
mdp.39015031904611,"Connell, John,",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015031904611.basic.json.bz2,NotFiction|Biography,London|Cassell|1959,1959,,1335738,enk,000152666,bio,1959,"World War, 1939-1945|El Alamein, Battle of, Egypt, 1942|Auchinleck, Claude John Eyre|1884-1981|Great Britain",Auchinleck;,bio
mdp.39015038040492,"Richardson, H. Edward (Harold Edward),",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015038040492.basic.json.bz2,Bibliographies|NotFiction|Biography,New York|McGraw-Hill|c1984.,1984,PS3537.T92516Z84 1984,10348685,nyu,000125670,bio,1984,"20th century|Biography|1906-1984|Stuart, Jesse|Authors, American",Jesse,bio
